Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Income share held by second 20%,SI.DST.02ND.20,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Albania,ALB,..,..,13.1,..,..,..,13.2,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Algeria,DZA,..,..,..,..,..,13.7,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Angola,AGO,..,7.8,9.6,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Argentina,ARG,..,7.6,9.2,9.3,9.5,9.7,9.9,10,9.8,..,9.6,..
Income share held by second 20%,SI.DST.02ND.20,Armenia,ARM,..,..,13.1,13.5,13,13.2,13.2,12.9,12.7,12.6,12.1,..
Income share held by second 20%,SI.DST.02ND.20,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Australia,AUS,..,..,11.6,..,11.8,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Austria,AUT,..,..,13.3,13,13.2,13.1,13.3,13.1,13.2,13.2,..,..
Income share held by second 20%,SI.DST.02ND.20,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Bangladesh,BGD,..,12.1,..,..,12.5,..,..,..,..,..,12.4,..
Income share held by second 20%,SI.DST.02ND.20,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Belarus,BLR,..,12.9,13.6,13.8,13.4,13.9,14,14,14,14,14.1,..
Income share held by second 20%,SI.DST.02ND.20,Belgium,BEL,..,..,13.9,13.9,13.9,14,14.1,14.1,13.9,14,..,..
Income share held by second 20%,SI.DST.02ND.20,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Benin,BEN,..,..,..,..,..,9.6,..,..,..,9.6,..,..
Income share held by second 20%,SI.DST.02ND.20,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Bhutan,BTN,..,..,..,..,..,..,10.8,..,..,..,..,10.8
Income share held by second 20%,SI.DST.02ND.20,Bolivia,BOL,9.7,5.3,8,8.5,..,9.2,9,8.8,8.8,9,9.5,..
Income share held by second 20%,SI.DST.02ND.20,Bosnia and Herzegovina,BIH,..,..,..,..,..,12.3,..,..,..,12.4,..,..
Income share held by second 20%,SI.DST.02ND.20,Botswana,BWA,..,..,..,5.7,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Brazil,BRA,5.5,..,7.1,7.2,..,7.5,7.6,7.6,7.8,7.9,..,..
Income share held by second 20%,SI.DST.02ND.20,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Bulgaria,BGR,..,..,12.6,12.5,12.1,12.7,12.2,12.2,11.8,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Burkina Faso,BFA,..,..,..,10.7,..,..,..,..,11.7,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Burundi,BDI,..,..,..,..,..,..,..,11,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Cameroon,CMR,..,..,..,..,..,..,..,..,8.5,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Canada,CAN,..,12.5,..,..,12.4,..,..,12.3,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Central African Republic,CAF,..,..,7,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Chad,TCD,..,..,..,..,..,9.7,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Chile,CHL,6.6,7.7,..,8.7,..,8.9,..,9,..,8.9,..,..
Income share held by second 20%,SI.DST.02ND.20,China,CHN,0,..,9.5,..,0,0,9.8,0,0,0,..,..
Income share held by second 20%,SI.DST.02ND.20,Colombia,COL,..,6.7,6.9,7.1,7,7.3,7.4,7.5,7.5,7.9,8,..
Income share held by second 20%,SI.DST.02ND.20,Comoros,COM,..,..,..,..,..,..,..,9.1,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,10,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,"Congo, Rep.",COG,..,..,..,..,..,8.2,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Costa Rica,CRI,9.5,8.9,8.5,8,8.5,8.3,8.3,8.2,8.3,8.4,8.3,..
Income share held by second 20%,SI.DST.02ND.20,Cote d'Ivoire,CIV,..,..,9.8,..,..,..,..,..,..,10.2,..,..
Income share held by second 20%,SI.DST.02ND.20,Croatia,HRV,..,..,..,12.7,12.9,12.7,12.7,12.8,12.8,13.1,..,..
Income share held by second 20%,SI.DST.02ND.20,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Cyprus,CYP,..,..,12.5,12.5,12.8,12.5,12.1,11.4,11.8,12.1,..,..
Income share held by second 20%,SI.DST.02ND.20,Czech Republic,CZE,..,..,14.6,14.6,14.5,14.6,14.5,14.5,14.6,14.7,..,..
Income share held by second 20%,SI.DST.02ND.20,Denmark,DNK,..,..,14.5,14.3,14.1,14,14,13.8,13.9,13.9,..,..
Income share held by second 20%,SI.DST.02ND.20,Djibouti,DJI,..,..,..,..,..,..,9.8,9.7,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
